domain,fail_count,stages,error_types,last_institution,sample_url,sample_message
seouldessert.com,3,homepage,RuntimeError,서울디저트페어,http://seouldessert.com/,HTTP request failed after retries: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1081)>
www.moosan.net,3,homepage,RuntimeError,무산서예,http://www.moosan.net/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.bmmuseum.net,3,homepage,RuntimeError,부띠크모나코뮤지엄,https://www.bmmuseum.net/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.rodeartscenter.com,3,homepage,RuntimeError,로데아트센터,http://www.rodeartscenter.com/,HTTP request failed after retries: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1081)>
ifair.co.kr,3,homepage,RuntimeError,아이페어 색소폰,http://ifair.co.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.look-in-side.com,3,homepage,HTTPError,룩인사이드,http://www.look-in-side.com/,HTTP Error 404: Not Found
kream.co.kr,3,homepage,RuntimeError,KREAM 도산 플래그십 스토어,https://kream.co.kr/,HTTP request failed after retries: The read operation timed out
www.ahsonvictor.com,3,homepage,RuntimeError,ahso&vicotr,http://www.ahsonvictor.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.c-store.co.kr,3,homepage,RuntimeError,루츠알레씨스토어,http://www.c-store.co.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.bhutan-korea.com,3,homepage,RuntimeError,한국부탄우호협회 부탄문화원,http://www.bhutan-korea.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
kyungsungmuseum.co.kr,3,homepage,RuntimeError,경성미술관,http://kyungsungmuseum.co.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.koreafashion.org,3,homepage,HTTPError,대한민국 패션대전,http://www.koreafashion.org/contest/index.asp,HTTP Error 404: 404
www.saccompany.co.kr,3,homepage,RuntimeError,서울뮤지컬아트센터,http://www.saccompany.co.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
ehs2.cafe24.com,3,homepage,RuntimeError,한국기독교문화예술원,http://ehs2.cafe24.com/,HTTP request failed after retries: <urlopen error timed out>
chinchinfc.rwm.whoismall.com,3,homepage,RuntimeError,친친가족문화원,http://chinchinfc.rwm.whoismall.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
ire17.com,3,homepage,RuntimeError,이레기획,http://ire17.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.eduexpo.kr,3,homepage,RuntimeError,교회교육엑스포,http://www.eduexpo.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.ggac.or.kr,3,page,HTTPError,경기아트센터,https://www.ggac.or.kr/ggac/M0000287/show/view.do,HTTP Error 500:
nmhome.kr,3,homepage,RuntimeError,아트스테이무용학원 소사점,http://nmhome.kr/20220729095624/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.god-particle.com,3,homepage,RuntimeError,갤러리마무,https://www.god-particle.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
eherstory.mogef.go.kr,3,homepage,HTTPError,국립여성사전시관,http://eherstory.mogef.go.kr/,HTTP Error 403: Forbidden
aonegallery.com,3,homepage,RuntimeError,에이원 갤러리,http://aonegallery.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
giff.flower.or.kr,3,homepage,RuntimeError,고양국제꽃박람회,https://giff.flower.or.kr/main/,"HTTP request failed after retries: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'giff.flower.or.kr'. (_ssl.c:1081)>"
swmuseum.suwon.ne.kr,3,homepage,RuntimeError,한국서예박물관,http://swmuseum.suwon.ne.kr/sub.jsp,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
cicamuseum.com,3,page,RuntimeError,CICA미술관,https://cicamuseum.com/jay-gee-kim-solo-exhibition/,HTTP request failed after retries: The read operation timed out
www.desertartproject.com,3,homepage,RuntimeError,아트프로젝트 에스,http://www.desertartproject.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.apap.or.kr:446,3,homepage,RuntimeError,안양파빌리온,https://www.apap.or.kr:446/,HTTP request failed after retries: <urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1081)>
www.gallerymoa.com,3,homepage,RuntimeError,갤러리 MOA,http://www.gallerymoa.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.dbfkorea.com,3,homepage,RuntimeError,디지털북페어코리아사무국,http://www.dbfkorea.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
stanartcenter.com,3,homepage,RuntimeError,스탠아트센터,http://stanartcenter.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
